0001.wav|CAPITULO UNO						
0002.wav|RAFAEL DELGADO Y SU NOVELA ANGELINA						
0003.wav|Con este libro obtuvo el gran novelista mexicano el más sonado éxito;						
0004.wav|con él hemos querido propagar en América su nombre						
0005.wav|A la exquisita amabilidad del eminente abogado mexicano, Don Miguel Hernández Sáuregui,						
0006.wav|heredero de los derechos del novelista, debemos la autorización para publicar este libro						
0007.wav|En sus armoniosas páginas reconocemos un acento nuestro						
0008.wav|Allí revive y se prolonga la musical historia de María						
0009.wav|No sé si, como aseguran cuerdos jueces, volvemos en América al romanticismo de Espronceda,						
0010.wav|sí otra vez repetiremos el «románticos somos» de Rubén Darío, del Rubén envejecido y suspirando por la juventud que se acabó 						
0011.wav|Retorno encantador que sería solo censurable si romanticismo significara otra vez el tumulto forense de una poesía callejera; 						
0012.wav|mas no si regresáramos, por los collados de Bécquer, al reclamo lunático, al epitalamio triste del ruiseñor y la noche						
0013.wav|Son rimas nuevas algunos cantos de Darío y en ciertas arias de Jiménez,						
0014.wav|que sedujeron a América, toda la Sevilla becqueriana está con sus divinos suspirantes y la guitarra de luto						
0015.wav|En tales libros han aprendido a amar y a delirar nuestras mujeres						
0016.wav|Por ellos son abnegadas víctimas del cruel amor e incomparables amantes						
0017.wav|Son Elviras y no han cesado de ser Julietas						
0018.wav|Y en ese coro de vivientes pasionarias, tan americano, tan nuestro,						
0019.wav|en la sentimental alegoría de la poesía sin ventura, yo creo que la mexicana y la colombiana vienen juntas						
0020.wav|La Angelina de este libro está, silvestre y coronada, con María						
0021.wav|Como la historia de Isaacs, ésta también—según nos dice el autor en el prólogo—fué «más vivida que imaginada»						
0022.wav|Alterando apenas ciertas fechas y ciertos nombres, nos relata una aventura propia						
0023.wav|¿Pueden acaso, las ajenas, contarse bien? Delgado no lo cree						
0024.wav|Dirigiéndose en el prólogo de Los Parientes Ricos al que leyere, confiesa que						
0025.wav|«el autor está siempre en la obra» y que «eso de la impersonalidad en la novela es empeño tan arduo y difícil que, a decir verdad, 						
0026.wav|lo tengo por sobrehumano e imposible»						
0027.wav|El relatará, pues, su aventura y con ella la de las mocedades americanas y mejicanas hacia mil ochocientos sesenta,						
0028.wav|cuando los libros de nuestro romanticismo tardío enseñan todos, la santidad de amar,						
0029.wav|la vital necesidad de amar y al mismo tiempo el perenne fracaso de los idilios,						
0030.wav|la crispada rebelión de los puños y la fatalista languidez de los labios que cantan con Leopardi el desposorio del Amor y la Muerte 						
0031.wav|Leopardi y Bécquer son los cultos de la adolescencia sentimental de Rafael Delgado 						
0032.wav|En mil ochocientos ochenta y uno, a los veintiocho años, leía estudios sobre ambos poetas desamparados, en la «Sociedad Sánchez Oropeza» de Orizaba						
0033.wav|El protagonista de Angelina confiesa que sabe de memoria versos de Justo Sierra y prosas de Altamirano						
0034.wav|Pero también conoce algunas quejas de esa generación mexicana de grandes clásicos						
0035.wav|Con tal lectura se modera y mitiga el moceril romanticismo						
0036.wav|Ya su generación pone el oído a los consejos de la escuela realista						
0037.wav|Y la novela La Calandria que publicara Delgado en mil ochocientos ochenta y nueve,						
0038.wav|en la Revista Nacional de Letras y Ciencias, es obra de regionalista y costumbrista						
0039.wav|Cuando años más tarde, dice a su amigo don Francisco Sosa que en el plan de sus relatos no entra por mucho el enredo,						
0040.wav|y que para él «la novela es historia», adivinamos que ha adoptado una idea de los Goncourt presentida ya en América por don Ricardo Palma						
0041.wav|Acercándose a la historia, llegan estos románticos a la vida;						
0042.wav|pero en su pesquisa de la veracidad y el documento se apartan siempre, con aprensivo ademán, del estercolero de Job en donde Zola prospera y se solaza						
0043.wav|Y porque vienen con Lamartine de un país de azahares y de lunas de miel,						
0044.wav|queda en sus personajes una bondad contagiosa, en su estilo una recóndita y efusiva dulzura que se infiltra en el alma como una bruma de noviembre 						
0045.wav|Nada puede dar mejor idea del operado cambio que el cuento Amor de niño (publicado en un tomo de relatos breves) en donde está en crisálida la novela Angelina 						
0046.wav|Es la encantadora y juvenil locura de un chiquillo que se enamora hasta enfermar						
0047.wav|de un cuadro, del lienzo en donde vive una de las más suaves heroínas de Shakespeare						
0048.wav|Cordelia es el primer amor de este adolescente que delira						
0049.wav|El episodio recuerda, hasta en el tono, un relato de Heine aquella estatua feminizada por el musgo que el futuro poeta de los lieder iba a besar, 						
0050.wav|con una oscura congoja de Werther bisoño, en un rincón del parque familiar						
0051.wav|Todos los románticos—se llamen Heine o Delgado—irán después a más carnales musas, pero ya llevan en la frente el signo de ceniza 						
0052.wav|Y ante las abnegaciones y los rendimientos de los acendrados cariños,						
0053.wav|no podrán ser en su prístina simplicidad, el joven y el amante						
0054.wav|Una intrusa jamás olvidada, la obsesionante compañera de un pacto adolescente,						
0055.wav|acude siempre a citas que no fueron para ella Cordelia impalpable y silenciosa, estatua derribada en el jardín que heló y eternizó con labios de mármol perfecto, el primer beso 						
0056.wav|Es casi la tragedia de este libro						
0057.wav|María muere, Angelina se retira para olvidar, a un convento, para olvidar un amor que ya adivina amenguado en el perfecto amante de su fantasía 						
0058.wav|Porque ellas también, a su manera, son resignadas víctimas de la educación sentimental y casi mística						
0059.wav|Sus lecturas favoritas, la sarracena ardentía de su sangre española,						
0060.wav|no les dejan entrever otra ventura que un amor de exceso como dijo el poeta, en donde amor y beso fueran síntesis de la eternidad» 						
0061.wav|Pero cuando la vida va a enseñarles la dolorosa experiencia de su fragilidad,						
0062.wav|ellas no quieren aventurarse por la senda en que la señora de Bovary camina, velada y suspirando, hacia el amor que engaña 						
0063.wav|Éstas hijas de María expiarán su candor en la celda horrenda y nuestros conventos son asilos de novias, desamparadas						
0064.wav|Ningún epílogo, podía ser, pues, más americano que el de Angelina						
0065.wav|Americano, aún cuando fuera antaño europeo también						
0066.wav|Traducida en la actualidad, haría sonreír						
0067.wav|Recordaría esos grabados encantadores en donde Lamartine, de cara al empíreo, increpa al cielo por su ventura perdida;						
0068.wav|aquellas imágenes de Elvira, de pie en la barca, bajo la luna que entumece los corazones y los lagos						
0069.wav|Pero estamos seguros de que seduce y seducirá esta obra a cuantos nacimos en países románticos						
0070.wav|En esos países donde hay siempre margaritas que deshojar, versos ingenuos en los abanicos,						
0071.wav|novias que juran, desde una reja nocturna, el amor vitalicio de Angelina						
0072.wav|VENTURA GARCÍA CALDERÓN						
0073.wav|PRÓLOGO DE LA PRIMERA EDICIÓN						
0074.wav|Allá te va esa novela, lector amigo;						
0075.wav|allá te van esas páginas desaliñadas o incoloras, escritas de prisa,						
0076.wav|sin que ni primores de lenguaje ni gramaticales escrúpulos hayan detenido la pluma del autor						
0077.wav|Son la historia de un muchacho pobre;						
0078.wav|pobre muchacho tímido y crédulo, como todos los que allá por el sesenta y siete se atusaban el naciente bigote, creyéndose unos hombres hechos y derechos; 						
0079.wav|historia sencilla, vulgar, más vivida que imaginada, que acaso resulte interesante y simpática para cuantos están a punto de cumplir los cuarenta 						
0080.wav|Como el Rodolfo de mi novela, gran lector de libros románticos, eran todos mis compañeros de mocedad,						
0081.wav|—te lo aseguro a fe de caballero,—y ni más ni menos que como Villaverde algunas ciudades de cuyo nombre no quiero acordarme 						
0082.wav|Te ruego por tu vida, amigo lector, que no te metas en honduras, que no te empeñes en averiguar dónde está Villaverde, cuna de mi protagonista 						
